material_id,name,formula
mp-1178316,Li19Cu4(HO2)8 (mp-1178316),Li19Cu4(HO2)8
mp-1178324,Fe3OF7 (mp-1178324),Fe3OF7
mp-1178332,Li(CoO2)2 (mp-1178332),Li(CoO2)2
mp-1178348,Li2Cu2C2O7 (mp-1178348),Li2Cu2C2O7
mp-1179605,Sb (mp-1179605),Sb
mp-1179980,NdCu(WO4)2 (mp-1179980),NdCu(WO4)2
mp-1181398,FeF3 (mp-1181398),FeF3
mp-1181628,DyCu(WO4)2 (mp-1181628),DyCu(WO4)2
mp-1181636,CuGeO3 (mp-1181636),CuGeO3
mp-1181675,Cu2ClO3 (mp-1181675),Cu2ClO3
mp-1181766,FeO2 (mp-1181766),FeO2
mp-1181783,FeF3 (mp-1181783),FeF3
mp-1181943,CaVCu3Se4 (mp-1181943),CaVCu3Se4
mp-1182074,Ca2CoO3 (mp-1182074),Ca2CoO3
mp-1182245,BaNdCo2O5 (mp-1182245),BaNdCo2O5
mp-1182375,BaMn4O8 (mp-1182375),BaMn4O8
mp-11830,LiCeSn (mp-11830),LiCeSn
mp-1183161,Al3Cu (mp-1183161),Al3Cu
mp-1183338,BaNa2Sn (mp-1183338),BaNa2Sn
mp-1183455,Ca (mp-1183455),Ca
mp-1183457,Ca2MgCd (mp-1183457),Ca2MgCd
mp-1183468,Ca2ZnSn (mp-1183468),Ca2ZnSn
mp-1183470,Ca2ZnPb (mp-1183470),Ca2ZnPb
mp-1183485,Ca3Mn (mp-1183485),Ca3Mn
mp-1183486,Ca3Ac (mp-1183486),Ca3Ac
mp-1183487,Ca3Y (mp-1183487),Ca3Y
mp-1183491,Ca3Nd (mp-1183491),Ca3Nd
mp-1183494,Ca3Sm (mp-1183494),Ca3Sm
mp-1183501,Ca3Cd (mp-1183501),Ca3Cd
mp-1183509,Ca3Pm (mp-1183509),Ca3Pm
mp-1180113,NaVCu3Se4 (mp-1180113),NaVCu3Se4
mp-1180276,MgVCu3Se4 (mp-1180276),MgVCu3Se4
mp-1180365,Mg3Cr (mp-1180365),Mg3Cr
mp-1180529,LiMnPO5 (mp-1180529),LiMnPO5
mp-1180557,LiTb5Sn3 (mp-1180557),LiTb5Sn3
mp-1180673,Li2CrF6 (mp-1180673),Li2CrF6
mp-1180676,La2CuO4 (mp-1180676),La2CuO4
mp-1180689,KVCu3Se4 (mp-1180689),KVCu3Se4
mp-1180767,KCrF3 (mp-1180767),KCrF3
mp-1180782,KCrF3 (mp-1180782),KCrF3
mp-1180807,KMnF3 (mp-1180807),KMnF3
mp-1181340,Fe3O4 (mp-1181340),Fe3O4
mp-1183510,Ca3Os (mp-1183510),Ca3Os
mp-1183533,Ca3U (mp-1183533),Ca3U
mp-1183542,Cd (mp-1183542),Cd
mp-1183575,CaMg (mp-1183575),CaMg
mp-1183648,Cd3Pd (mp-1183648),Cd3Pd
mp-1183694,Cs (mp-1183694),Cs
mp-1183923,CsAcO3 (mp-1183923),CsAcO3
mp-1183935,CsCa3 (mp-1183935),CsCa3
mp-1184201,Cs2SbCl6 (mp-1184201),Cs2SbCl6
mp-1184449,CaMg149 (mp-1184449),CaMg149
mp-1184855,K3Ca (mp-1184855),K3Ca
mp-1184863,K3Mo (mp-1184863),K3Mo
mp-1184873,K3Cr (mp-1184873),K3Cr
mp-1184877,K3Ca (mp-1184877),K3Ca
mp-1184886,K3Mn (mp-1184886),K3Mn
mp-1184907,K3Cd (mp-1184907),K3Cd
mp-1184984,KCa3 (mp-1184984),KCa3
mp-1185016,KCa3 (mp-1185016),KCa3
mp-1185039,Li2CeSn (mp-1185039),Li2CeSn
mp-1185184,Li3Nb (mp-1185184),Li3Nb
mp-1185185,Li3Cr (mp-1185185),Li3Cr
mp-1185231,Li3Ce (mp-1185231),Li3Ce
mp-1185265,Li3Sn (mp-1185265),Li3Sn
mp-1185307,LiAl2Cu (mp-1185307),LiAl2Cu
mp-1185311,LiCrO3 (mp-1185311),LiCrO3
mp-1185325,LiCa2Pb (mp-1185325),LiCa2Pb
mp-1185627,Mg149Mn (mp-1185627),Mg149Mn
mp-1185628,Mg149Sb (mp-1185628),Mg149Sb
mp-1185637,Mg149Sn (mp-1185637),Mg149Sn
mp-1185639,Mg149Ti (mp-1185639),Mg149Ti
